name,date
Alpha,2010-06-29
Beta,2010-12-20
Release (1.0),2011-11-18
Pretty Scary Update (1.4),2012-10-25
Redstone Update (1.5),2013-03-13
Horse Update (1.6),2013-07-01
The Update that Changed the World (1.7),2013-10-25
Bountiful Update (1.8),2014-09-02
Combat Update (1.9),2016-02-29
Frostburn Update (1.10),2016-06-08
Exploration Update (1.11),2016-11-14
World of Color Update (1.12),2017-06-07
Update Aquatic (1.13),2018-07-18
Village & Pillage (1.14),2019-04-23
Buzzy Bees (1.15),2019-12-10
Nether Update (1.16),2020-06-23
Caves & Cliffs p.1 (1.17),2021-06-08
Caves & Cliffs p.2 (1.18),2021-11-30
The Wild Update (1.19),2022-06-07
Trails & Tails (1.20),2023-06-07
Tricky Trials (1.21),2024-06-13
